Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Sno,10,8,21,2.625,25,3.125,2,7,6,8,16,21,39,1.3125,25,1.5625,64.625,2,0.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,15,18,22,1.46667,1,0.0666667,7,0.466667,62.2667,14,25,1.78571,68.9286,2,1,1.71671,3,4,0,1.33333,67.6667,1,7,15,2,2.14286,81.2857,0,4,6,0,1.5,48.25,0,
RedACE,9,8,30,3.75,39,4.875,11,5,7,4,16,30,43,1.875,39,2.4375,88.875,11,0.6875,0,3,9,9,3,3,1,1,0.333333,100,10,21,27,2.7,8,0.8,2,0.2,95,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,57.3333,15,28,1.86667,75.7333,4,1,1.88655,14,26,4,1.85714,76.1429,1,1,2,0,2,70,0,0,0,0,0,0,0,
Tim66,10,7,16,2.28571,27,3.85714,3,5,6,6,14,16,26.4,1.14286,27,1.92857,72.9286,3,0.214286,0,1,2,2,2,0,0,0,0,57,9,13,20,2.22222,3,0.333333,3,0.333333,79,2,0,4,2,0,0,0,0,86.5,2,1,1,0.5,0,0,1,0.5,40,13,25,1.92308,68.6154,3,0,1.74123,8,16,2,2,70.75,0,1,1,0,1,25,0,4,8,1,2,75.25,0,
Wryhorn,11,9,39,4.33333,43,4.77778,11,11,8,0,18,39,31.4,2.16667,43,2.38889,88.5556,11,0.611111,1,3,2,3,1,0,0,0,0,54.3333,2,6,6,3,2,1,0,0,100,13,31,34,2.61538,9,0.692308,4,0.307692,94.6923,0,0,0,0,0,0,0,0,0,16,20,1.25,59,2,5,1.49867,8,14,2,1.75,66.25,1,0,0,0,0,0,0,8,6,0,0.75,51.75,4,
Amagnus,9,9,30,3.33333,42,4.66667,10,2,4,5,18,30,43.1,1.66667,42,2.33333,91.7222,10,0.555556,0,3,0,5,1.66667,0,0,0,0,86,13,30,35,2.69231,10,0.769231,4,0.307692,96,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,72.5,13,29,2.23077,86.6154,7,0,1.36628,9,19,4,2.11111,84.5556,0,2,4,1,2,82.5,0,2,6,2,3,100,0,
Double G,9,3,15,5,17,5.66667,5,1,2,1,6,15,18.6,2.5,17,2.83333,98,5,0.833333,0,0,0,0,0,0,0,0,0,0,5,12,14,2.8,4,0.8,4,0.8,97.6,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,5,11,2.2,77.8,2,0,1.48485,4,8,1,2,72.25,0,0,0,0,0,0,0,1,3,1,3,100,0,
Intel,11,2,4,2,7,3.5,0,2,2,0,4,15,4.7,3.75,7,1.75,71,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,0,0,1,0.5,60.5,2,62,3,1.5,0,0,0,0,81.5,0,0,0,0,0,0,0,0,0,4,5,1.25,59.75,0,1,1.68182,1,2,0,2,71,0,0,0,0,0,0,0,3,3,0,1,56,1,
MG7,9,1,3,3,5,5,1,0,1,1,2,3,4.5,1.5,5,2.5,99.5,1,0.5,1,0,0,0,0,0,0,0,0,0,2,3,5,2.5,1,0.5,1,0.5,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.5,96.5,1,0,1.92754,2,5,1,2.5,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joe,9,9,24,2.66667,38,4.22222,8,4,11,4,18,24,43.8,1.33333,38,2.11111,83,8,0.444444,1,4,6,10,2.5,2,0.5,2,0.5,93.5,11,18,26,2.36364,6,0.545455,5,0.454545,89.5455,0,0,0,0,0,0,0,0,0,3,0,2,0.666667,0,0,0,0,45,20,39,1.95,72.75,5,1,2.18644,16,30,4,1.875,72,1,1,3,1,3,100,0,3,6,0,2,67.6667,0,
Tim2,10,1,0,0,1,1,0,1,1,2,2,0,-0.2,0,1,0.5,58.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.5,0,0,0,0,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1.5,48,0,0,1.97701,0,0,0,0,0,0,1,1,0,1,46,0,1,2,0,2,50,0,
