Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
darkness,9,2,6,3,11,5.5,3,1,1,0,4,6,1.5,11,2.75,97,3,0.75,0,1,3,3,3,1,1,0,0,100,2,3,5,2.5,1,0.5,1,0.5,94,0,0,0,0,0,0,0,0,0,1,0,3,3,1,1,0,0,100,3,6,2,80,1,0,3,6,1,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jhawk,9,3,3,1,13,4.33333,2,2,2,0,6,3,0.5,13,2.16667,78.3333,2,0.333333,0,0,0,0,0,0,0,0,0,0,6,3,13,2.16667,2,0.333333,0,0,78.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2,74.8,1,0,5,10,1,2,74.8,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dragon Slayer,8,6,3,0.5,14,2.33333,2,1,8,3,10,3,0.3,14,1.4,66.8,2,0.2,0,5,3,10,2,2,0.4,1,0.2,82.4,1,0,1,1,0,0,0,0,51,0,0,0,0,0,0,0,0,0,4,0,3,0.75,0,0,0,0,51.25,14,26,1.85714,81.0714,5,0,10,16,2,1.6,77.3,0,3,9,3,3,100,0,1,1,0,1,62,0,
Katie-cakes,9,15,34,2.26667,57,3.8,10,6,23,2,26,34,1.30769,57,2.19231,80.6538,10,0.384615,1,4,5,9,2.25,1,0.25,2,0.5,72,17,17,36,2.11765,5,0.294118,6,0.352941,81,4,12,12,3,4,1,2,0.5,100,1,0,0,0,0,0,0,0,32,38,76,2,73.3947,9,1,31,67,9,2.16129,80.4194,0,2,2,0,1,34,1,5,7,0,1.4,45.6,0,
RedACE,9,24,100,4.16667,122,5.08333,32,21,16,6,48,100,2.08333,122,2.54167,93.5833,32,0.666667,2,30,58,73,2.43333,18,0.6,15,0.5,91.4,16,36,43,2.6875,12,0.75,6,0.375,96.875,0,0,0,0,0,0,0,0,0,2,6,6,3,2,1,2,1,100,38,66,1.73684,68.4737,8,4,30,52,6,1.73333,67.8,2,6,14,2,2.33333,83.8333,0,2,0,0,0,32.5,2,
Kighr,9,18,42,2.33333,79,4.38889,17,15,11,6,34,42,1.23529,79,2.32353,90.6765,17,0.5,0,15,9,32,2.13333,5,0.333333,2,0.133333,87.7333,16,33,42,2.625,11,0.6875,6,0.375,97,0,0,0,0,0,0,0,0,0,3,6,5,1.66667,1,0.333333,0,0,71.6667,28,47,1.67857,67.1071,5,4,19,30,2,1.57895,65,3,6,15,3,2.5,90.8333,0,3,2,0,0.666667,33,1,
Caesar,9,4,12,3,16,4,4,3,4,0,6,12,2,16,2.66667,91.6667,4,0.666667,0,1,0,2,2,0,0,0,0,66,5,12,14,2.8,4,0.8,2,0.4,96.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,1.5,76.5,1,1,8,12,1,1.5,76.5,1,0,0,0,0,0,0,0,0,0,0,0,0,
Darth Blaine,9,4,21,5.25,23,5.75,7,0,2,0,8,21,2.625,23,2.875,96.625,7,0.875,0,5,12,14,2.8,4,0.8,1,0.2,94.6,3,9,9,3,3,1,2,0.666667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,2.66667,98.1667,4,0,6,16,4,2.66667,98.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wryhorn,11,20,43,2.15,52,2.6,4,37,9,0,37,43,1.16216,52,1.40541,65.7027,4,0.108108,1,0,0,0,0,0,0,0,0,0,26,25,28,1.07692,0,0,9,0.346154,57.8846,11,18,24,2.18182,4,0.363636,1,0.0909091,84.1818,0,0,0,0,0,0,0,0,0,27,26,0.962963,43.3333,0,8,19,22,0,1.15789,51.6316,3,0,0,0,0,0,0,8,4,0,0.5,23.625,5,
Amagnus,9,24,71,2.95833,112,4.66667,25,22,20,5,48,71,1.47917,112,2.33333,86.7917,25,0.520833,1,14,8,26,1.85714,3,0.214286,1,0.0714286,74.1429,33,63,84,2.54545,22,0.666667,13,0.393939,92.6667,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,70,42,68,1.61905,71.5714,7,4,36,57,6,1.58333,72.4722,4,5,10,1,2,72,0,1,1,0,1,37,0,
Joe,9,15,26,1.73333,61,4.06667,13,15,16,0,29,26,0.896552,61,2.10345,83.8621,13,0.448276,2,7,5,12,1.71429,2,0.285714,0,0,73.7143,22,21,49,2.22727,11,0.5,5,0.227273,87.0909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,49,1.63333,64.9,3,3,30,49,3,1.63333,64.9,3,0,0,0,0,0,0,0,0,0,0,0,0,
Rokthar,9,2,6,3,6,3,2,4,1,1,4,6,1.5,6,1.5,62.25,2,0.5,0,1,0,0,0,0,0,0,0,49,3,6,6,2,2,0.666667,2,0.666667,66.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,85,0,0,1,2,0,2,76,0,1,2,0,2,94,0,0,0,0,0,0,0,
secretslayer297,8,18,74,4.11111,82,4.55556,25,10,10,11,36,74,2.05556,82,2.27778,85.9722,25,0.694444,1,2,6,6,3,2,1,0,0,100,23,56,61,2.65217,19,0.826087,18,0.782609,95.2174,2,6,6,3,2,1,2,1,100,9,7,9,1,2,0.222222,1,0.111111,56.1111,27,60,2.22222,85.1481,12,0,16,33,6,2.0625,83.5,0,11,27,6,2.45455,87.5455,0,0,0,0,0,0,0,
Ethan,9,1,0,0,6,6,2,1,0,0,2,0,0,6,3,100,2,1,0,1,0,3,3,1,1,0,0,100,1,0,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,81,0,0,1,2,0,2,81,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Boot,9,8,21,2.625,33,4.125,8,6,13,0,16,21,1.3125,33,2.0625,77.3125,8,0.5,1,2,0,1,0.5,0,0,0,0,23,12,18,27,2.25,7,0.583333,5,0.416667,86,1,3,3,3,1,1,0,0,100,1,100,2,2,0,0,0,0,59,21,38,1.80952,68.381,5,3,20,38,5,1.9,70.15,2,0,0,0,0,0,0,1,0,0,0,33,1,
Poz,9,22,65,2.95455,102,4.63636,24,12,19,2,44,65,1.47727,102,2.31818,88.5682,24,0.545455,3,7,3,10,1.42857,2,0.285714,0,0,71.7143,37,62,92,2.48649,22,0.594595,15,0.405405,91.7568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,88,2.2,83.5,12,1,38,83,11,2.18421,82.8684,1,2,5,1,2.5,95.5,0,0,0,0,0,0,0,
Aleister Crowle,9,10,29,2.9,44,4.4,9,8,5,1,20,29,1.45,44,2.2,83.75,9,0.45,0,6,3,11,1.83333,1,0.166667,1,0.166667,76.6667,12,24,30,2.5,8,0.666667,2,0.166667,91.8333,0,0,0,0,0,0,0,0,0,2,2,3,1.5,0,0,1,0.5,56.5,14,29,2.07143,80.3571,4,0,13,26,3,2,78.8462,0,1,3,1,3,100,0,0,0,0,0,0,0,
dolphinkickme,9,6,8,1.33333,24,4,2,5,5,2,12,8,0.666667,24,2,77.6667,2,0.166667,1,7,6,15,2.14286,2,0.285714,0,0,81.7143,1,0,2,2,0,0,0,0,99,0,0,0,0,0,0,0,0,0,4,4,7,1.75,0,0,1,0.25,65.25,10,22,2.2,86.3,3,0,8,17,2,2.125,87.625,0,2,5,1,2.5,81,0,0,0,0,0,0,0,
