Player,TH,Total Wars,Total Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses
Poz,9,5,9,21,4.2,5,3,1,0,10,9,21,2.1,88,5,0.5,2,2,3,3,1.5,1,0.5,0,0,72,8,6,18,2.25,4,0.5,2,0.25,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,2.33333,81.1667,2,0,6,14,2,2.33333,81.1667,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve,9,5,11,20,4,3,4,5,1,10,11,20,2,81.5,3,0.3,0,6,3,10,1.66667,1,0.166667,0,0,79.5,3,6,8,2.66667,2,0.666667,2,0.666667,95.3333,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,52,10,15,1.5,68.7,1,2,9,13,1,1.44444,68.7778,2,1,2,0,2,68,0,0,0,0,0,0,0
Jim,9,2,3,5,2.5,1,2,1,0,4,3,5,1.25,73.25,1,0.25,0,2,3,4,2,1,0.5,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0.5,0,0,0,0,51.5,3,6,2,70.6667,0,0,3,6,0,2,70.6667,0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine,9,5,15,23,4.6,5,6,10,3,10,15,23,2.3,87.5,5,0.5,1,8,15,21,2.625,5,0.625,4,0.5,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,53.5,15,21,1.4,41.9333,0,0,7,12,0,1.71429,66.2857,0,3,4,0,1.33333,33,0,5,5,0,1,13.2,0
Atlas,10,1,2,3,3,0,2,1,1,2,2,3,1.5,47.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1.5,0,0,0,0,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,48.5,0,1,1,0,0,0,45,1,1,1,0,1,52,0,0,0,0,0,0,0
trappist9,8,3,12,15,5,5,1,2,0,6,12,15,2.5,90.1667,5,0.833333,0,1,3,3,3,1,1,0,0,100,4,9,12,3,4,1,2,0.5,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,5,10,2,79.2,2,0,4,9,2,2.25,86,0,0,0,0,0,0,0,1,1,0,1,52,0
Chezwick,10,1,3,4,4,1,1,0,1,2,3,4,2,85.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,3,4,2,1,0.5,0,0,85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,67,0,0,0,0,0,0,0,0,1,2,0,2,67,0,0,0,0,0,0,0
Darth Carlos,9,5,18,23,4.6,6,4,3,3,10,18,23,2.3,88.8,6,0.6,0,7,15,17,2.42857,5,0.714286,3,0.428571,95.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,2,1,0.333333,0,0,72.6667,8,17,2.125,69.25,1,0,5,10,0,2,68,0,3,7,1,2.33333,71.3333,0,0,0,0,0,0,0
Aboy,9,2,3,7,3.5,1,1,2,2,4,3,7,1.75,77,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,1.75,1,0.25,0,0,77,4,6,1.5,71.5,1,1,2,1,0,0.5,52,1,2,5,1,2.5,91,0,0,0,0,0,0,0
Aboy,10,2,3,9,4.5,2,1,0,0,4,3,9,2.25,84.75,2,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,52,3,3,8,2.66667,2,0.666667,0,0,95.6667,0,0,0,0,0,0,0,0,0,2,5,2.5,80,1,0,1,3,1,3,100,0,0,0,0,0,0,0,1,2,0,2,60,0
stardust,9,2,11,11,5.5,3,2,2,0,4,11,11,2.75,90,3,0.75,0,3,9,9,3,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,2,0,0,0,0,60,4,7,1.75,77.25,0,0,4,7,0,1.75,77.25,0,0,0,0,0,0,0,0,0,0,0,0,0
DimSum,9,5,18,25,5,6,3,1,0,10,18,25,2.5,90.2,6,0.6,1,3,3,7,2.33333,1,0.333333,0,0,89.6667,5,15,15,3,5,1,3,0.6,100,0,0,0,0,0,0,0,0,0,2,10,3,1.5,0,0,0,0,66.5,6,14,2.33333,75.1667,2,0,6,14,2,2.33333,75.1667,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninja,8,3,6,7,2.33333,2,4,3,2,6,6,7,1.16667,60.8333,2,0.333333,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,1,3,3,3,1,1,1,1,100,4,0,1,0.25,0,0,0,0,41.25,5,9,1.8,82.6,1,0,3,6,1,2,87.3333,0,2,3,0,1.5,75.5,0,0,0,0,0,0,0
Jippieh Yeah,9,3,6,13,4.33333,3,4,1,0,6,6,13,2.16667,80.8333,3,0.5,0,5,6,11,2.2,3,0.6,1,0.2,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,2,0,0,0,0,55,4,6,1.5,58.75,0,0,4,6,0,1.5,58.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony,9,3,12,15,5,4,3,3,0,6,12,15,2.5,93.3333,4,0.666667,0,1,0,2,2,0,0,0,0,76,5,12,13,2.6,4,0.8,2,0.4,96.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,1.66667,73,0,0,6,10,0,1.66667,73,0,0,0,0,0,0,0,0,0,0,0,0,0
RedACEling,8,1,3,4,4,1,1,0,0,2,3,4,2,64,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,1,0,1,1,0,0,0,0,28,1,2,2,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,67,0
Brodavidict,9,3,15,17,5.66667,5,3,1,0,6,15,17,2.83333,99,5,0.833333,0,5,12,14,2.8,4,0.8,3,0.6,98.8,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1.75,56,0,0,4,7,0,1.75,56,0,0,0,0,0,0,0,0,0,0,0,0,0
