Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
WanG,9,13,42,3.23077,58,4.46154,14,5,14,3,25,42,1.68,58,2.32,88.32,14,0.56,3,11,12,24,2.18182,4,0.363636,3,0.272727,90.1818,8,24,24,3,8,1,6,0.75,100,0,0,0,0,0,0,0,0,0,6,15,10,1.66667,2,0.333333,1,0.166667,69.3333,27,56,2.07407,80.7778,10,3,22,49,8,2.22727,84.6818,1,3,6,2,2,76,1,2,1,0,0.5,45,1,
DeadShot,9,1,0,0,3,3,0,1,2,0,2,0,0,3,1.5,64.5,0,0,0,1,0,2,2,0,0,0,0,68,1,0,1,1,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,58,0,1,3,3,0,1,58,1,0,0,0,0,0,0,0,0,0,0,0,0,
Rokthar,9,6,3,0.5,20,3.33333,1,6,6,1,12,3,0.25,20,1.66667,74.75,1,0.0833333,0,4,0,7,1.75,0,0,0,0,75.5,8,3,13,1.625,1,0.125,1,0.125,74.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,1.58333,58.9167,1,0,11,18,1,1.63636,63.7273,0,1,1,0,1,6,0,0,0,0,0,0,0,
The Boot,9,10,24,2.4,43,4.3,9,5,16,1,20,24,1.2,43,2.15,84.6,9,0.45,0,3,0,4,1.33333,0,0,0,0,73.3333,14,18,32,2.28571,7,0.5,3,0.214286,86.9286,2,6,6,3,2,1,2,1,100,1,0,1,1,0,0,0,0,55,26,52,2,77.8846,7,1,23,49,7,2.13043,80.5217,0,1,0,0,0,48,1,2,3,0,1.5,62.5,0,
Butterburger,11,7,28,4,30,4.28571,4,11,3,0,14,28,2,30,2.14286,83.7857,4,0.285714,1,0,0,0,0,0,0,0,0,0,6,8,10,1.66667,0,0,4,0.666667,71.5,8,20,20,2.5,4,0.5,5,0.625,93,0,0,0,0,0,0,0,0,0,10,10,1,53.9,0,4,8,10,0,1.25,59.25,2,0,0,0,0,0,0,2,0,0,0,32.5,2,
Poz,9,18,46,2.55556,81,4.5,15,7,17,3,36,46,1.27778,81,2.25,86.8889,15,0.416667,0,6,4,11,1.83333,0,0,1,0.166667,79,25,36,58,2.32,13,0.52,6,0.24,87.68,2,6,6,3,2,1,2,1,100,3,0,6,2,0,0,0,0,87.3333,34,73,2.14706,78.9706,14,2,25,61,13,2.44,86.92,0,3,6,1,2,74.6667,0,6,6,0,1,48,2,
Nordar 2,10,3,4,1.33333,9,3,0,2,2,2,6,4,0.666667,9,1.5,53.5,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,1.6,0,0,1,0.2,53.4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,54,5,9,1.8,65.6,1,0,2,3,0,1.5,54.5,0,2,5,1,2.5,89,0,1,1,0,1,41,0,
Aleister Crowle,9,21,58,2.7619,90,4.28571,18,16,26,4,42,58,1.38095,90,2.14286,85.0238,18,0.428571,2,21,23,42,2,7,0.333333,4,0.190476,83.1429,15,27,36,2.4,9,0.6,4,0.266667,89.6,1,3,3,3,1,1,1,1,100,5,5,9,1.8,1,0.2,1,0.2,76.2,45,84,1.86667,73.9111,9,3,41,75,8,1.82927,72.9024,3,4,9,1,2.25,84.25,0,0,0,0,0,0,0,
dolphinkickme,9,4,0,0,17,4.25,2,2,2,3,8,0,0,17,2.125,84.625,2,0.25,2,6,0,12,2,1,0.166667,0,0,83,1,0,2,2,0,0,0,0,79,0,0,0,0,0,0,0,0,0,1,5,3,3,1,1,0,0,100,6,11,1.83333,65,2,1,3,5,1,1.66667,59.3333,1,3,6,1,2,70.6667,0,0,0,0,0,0,0,
Burris,9,2,3,1.5,6,3,1,1,2,0,3,3,1,6,2,87,1,0.333333,1,1,0,1,1,0,0,0,0,62,1,0,2,2,0,0,0,0,99,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,4,8,2,58.5,1,0,4,8,1,2,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
azzman,9,3,9,3,14,4.66667,3,2,2,0,6,9,1.5,14,2.33333,81.8333,3,0.5,0,1,0,2,2,0,0,0,0,72,3,6,8,2.66667,2,0.666667,2,0.666667,90,1,3,3,3,1,1,1,1,100,1,5,1,1,0,0,0,0,49,5,10,2,83.2,1,0,5,10,1,2,83.2,0,0,0,0,0,0,0,0,0,0,0,0,0,
