Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Wryhorn,11,13,53,4.07692,53,4.07692,8,29,5,0,26,70,2.69231,53,2.03846,74.1538,8,0.307692,0,0,0,0,0,0,0,0,0,0,18,45,35,1.94444,4,0.222222,9,0.5,69.5,8,25,18,2.25,4,0.5,4,0.5,84.625,0,0,0,0,0,0,0,0,0,15,11,0.733333,42.1333,0,7,11,8,0,0.727273,42.7273,6,0,0,0,0,0,0,4,3,0,0.75,40.5,1,
Amagnus,9,15,45,3,73,4.86667,16,12,12,3,30,45,1.5,73,2.43333,91.3,16,0.533333,1,25,33,59,2.36,12,0.48,4,0.16,89.92,3,6,8,2.66667,2,0.666667,0,0,97,0,0,0,0,0,0,0,0,0,2,15,6,3,2,1,1,0.5,100,26,52,2,76.8077,7,1,23,43,4,1.86957,73.7826,1,3,9,3,3,100,0,0,0,0,0,0,0,
Joe,9,9,27,3,43,4.77778,10,9,5,0,18,27,1.5,43,2.38889,87.8333,10,0.555556,0,3,3,8,2.66667,2,0.666667,0,0,95.6667,15,24,35,2.33333,8,0.533333,7,0.466667,86.2667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,2.08333,89.0833,4,0,11,24,4,2.18182,93.0909,0,0,0,0,0,0,0,1,1,0,1,45,0,
Ghengis,11,2,10,5,10,5,2,4,3,0,4,80,20,10,2.5,86,2,0.5,0,0,0,0,0,0,0,0,0,0,3,52,7,2.33333,1,0.333333,3,1,81.3333,1,28,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,5,3,0.6,45,0,3,2,2,0,1,48,1,0,0,0,0,0,0,3,1,0,0.333333,43,2,
WanG,9,8,27,3.375,36,4.5,9,4,7,2,15,27,1.8,36,2.4,90.1333,9,0.6,3,7,9,16,2.28571,3,0.428571,2,0.285714,95,4,12,12,3,4,1,3,0.75,100,0,0,0,0,0,0,0,0,0,4,6,8,2,2,0.5,1,0.25,71.75,15,29,1.93333,79.8667,6,3,11,25,5,2.27273,89.0909,1,2,3,1,1.5,64,1,2,1,0,0.5,45,1,
DeadShot,9,1,0,0,3,3,0,1,2,0,2,0,0,3,1.5,64.5,0,0,0,1,0,2,2,0,0,0,0,68,1,0,1,1,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,58,0,1,3,3,0,1,58,1,0,0,0,0,0,0,0,0,0,0,0,0,
Rokthar,9,6,3,0.5,20,3.33333,1,6,6,1,12,3,0.25,20,1.66667,74.75,1,0.0833333,0,4,0,7,1.75,0,0,0,0,75.5,8,3,13,1.625,1,0.125,1,0.125,74.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,1.58333,58.9167,1,0,11,18,1,1.63636,63.7273,0,1,1,0,1,6,0,0,0,0,0,0,0,
The Boot,9,7,15,2.14286,28,4,6,4,12,1,14,15,1.07143,28,2,82.1429,6,0.428571,0,2,0,2,1,0,0,0,0,68.5,10,12,22,2.2,5,0.5,2,0.2,85.8,1,3,3,3,1,1,1,1,100,1,6,1,1,0,0,0,0,55,19,38,2,78.7895,5,1,16,35,5,2.1875,82.75,0,1,0,0,0,48,1,2,3,0,1.5,62.5,0,
Poz,9,11,32,2.90909,52,4.72727,11,7,12,2,22,32,1.45455,52,2.36364,90.5,11,0.5,0,3,2,5,1.66667,0,0,0,0,78.3333,15,24,37,2.46667,9,0.6,3,0.2,91.6,2,6,6,3,2,1,2,1,100,2,6,4,2,0,0,0,0,91,22,44,2,75.4545,7,1,15,35,7,2.33333,85.7333,0,2,3,0,1.5,62,0,5,6,0,1.2,50,1,
Aleister Crowle,9,13,32,2.46154,53,4.07692,10,12,13,1,26,32,1.23077,53,2.03846,84.2308,10,0.384615,1,14,8,23,1.64286,2,0.142857,3,0.214286,77.4286,8,18,21,2.625,6,0.75,2,0.25,95.875,1,3,3,3,1,1,1,1,100,3,9,6,2,1,0.333333,1,0.333333,79.6667,24,46,1.91667,72.75,5,1,23,44,5,1.91304,73.1304,1,1,2,0,2,64,0,0,0,0,0,0,0,
